indiv	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
PAGC60009_S37	SUPER__6	1	111457381	14638173	110647910	99.2737	18.9344	36.5	55.8
PAGC60009_S37	SUPER__7	1	98951147	12763849	97196083	98.2263	18.5494	36.4	55.1
PAGC60009_S37	SUPER__8	1	93510542	12163512	92506672	98.9265	18.7913	36.5	55.3
PAGC60009_S37	SUPER__9	1	91912741	11952515	90987354	98.9932	18.7669	36.5	56.1
PAGC60009_S37	SUPER__10	1	84231690	10958151	82884698	98.4008	18.6943	36.5	54.2
PAGC60009_S37	SUPER__11	1	83622935	11008857	82563872	98.7335	18.8323	36.4	54
PAGC60009_S37	SUPER__12	1	81635540	10713983	80511200	98.6227	18.9379	36.5	53
PAGC60009_S37	SUPER__13	1	72972725	9373741	71602705	98.1226	18.5151	36.5	51.1
PAGC60009_S37	SUPER__14	1	61507012	8001776	59417171	96.6023	18.2365	36.3	50.2
PAGC60009_S37	SUPER__15	1	60856427	8033340	60177012	98.8836	18.9335	36.4	54.9
PAGC60009_S37	SUPER__16	1	55580494	7292413	55249371	99.4042	18.883	36.5	56.3
PAGC60009_S37	SUPER__17	1	54681234	6897790	53124105	97.1524	18.0772	36.4	54
PAGC60009_S37	SUPER__18	1	52719951	6813548	52070190	98.7675	18.6167	36.5	56.2
PAGC60009_S37	SUPER__19	1	43711415	5669075	43212439	98.8585	18.6799	36.4	56.2
PAGC60009_S37	SUPER__20	1	28462450	3701969	28084407	98.6718	18.6341	36.4	55.3
PAGC60009_S37	SUPER__21	1	25775296	2981872	23497774	91.1639	16.5015	36.4	34.4
PAGC60009_S37	SUPER__22	1	17753772	2285065	17531796	98.7497	18.2889	36.4	54.2
PAGC60009_S37	SUPER__23	1	2327365	303709	2297197	98.7038	18.6252	36.3	54.8
PAGC61030_S39	SUPER__1	1	244374582	28590171	239425030	97.9746	16.7853	36.5	52.6
PAGC61030_S39	SUPER__2	1	212563729	26142289	210192979	98.8847	17.6042	36.5	54.8
PAGC61030_S39	SUPER__3	1	211792393	26088142	209287534	98.8173	17.6356	36.5	54.2
PAGC61030_S39	SUPER__4	1	121730464	8117038	119134816	97.8677	9.40166	36.4	49.3
PAGC61030_S39	SUPER__5	1	113776203	13351503	110300550	96.9452	16.8206	36.5	54.2
PAGC61030_S39	SUPER__6	1	111457381	13811152	110601863	99.2324	17.8074	36.5	55.8
PAGC61030_S39	SUPER__7	1	98951147	12092293	97275435	98.3065	17.5189	36.5	55.1
PAGC61030_S39	SUPER__8	1	93510542	11475897	92489935	98.9086	17.6639	36.5	55.3
PAGC61030_S39	SUPER__9	1	91912741	11282516	90987583	98.9934	17.6531	36.5	56
PAGC61030_S39	SUPER__10	1	84231690	10338327	82859489	98.3709	17.5822	36.5	54.1
PAGC61030_S39	SUPER__11	1	83622935	10417571	82446288	98.5929	17.7711	36.4	54
PAGC61030_S39	SUPER__12	1	81635540	10008888	80416803	98.5071	17.6264	36.5	53.6
PAGC61030_S39	SUPER__13	1	72972725	8803000	71515911	98.0036	17.3283	36.5	51.3
PAGC61030_S39	SUPER__14	1	61507012	7507019	59334297	96.4675	17.0639	36.3	50.2
PAGC61030_S39	SUPER__15	1	60856427	7569412	60109987	98.7734	17.7788	36.5	55
PAGC61030_S39	SUPER__16	1	55580494	6893494	55186585	99.2913	17.7853	36.5	56.2
PAGC61030_S39	SUPER__17	1	54681234	6545458	53103966	97.1155	17.0985	36.4	54
PAGC61030_S39	SUPER__18	1	52719951	6426737	52106862	98.8371	17.4975	36.5	56.2
PAGC61030_S39	SUPER__19	1	43711415	5344022	43192554	98.813	17.5456	36.5	56.1
PAGC61030_S39	SUPER__20	1	28462450	3491951	28072124	98.6286	17.5207	36.4	55.2
PAGC61030_S39	SUPER__21	1	25775296	2583249	23061528	89.4714	14.2152	36.4	36.7
PAGC61030_S39	SUPER__22	1	17753772	2159228	17511105	98.6332	17.2295	36.4	54.5
PAGC61030_S39	SUPER__23	1	2327365	289102	2300771	98.8573	17.6813	36.3	55
PAGC61033_S40	SUPER__1	1	244374582	26974061	238874859	97.7495	15.8437	36.3	52.8
PAGC61033_S40	SUPER__2	1	212563729	24882919	210357158	98.9619	16.7608	36.3	54.7
PAGC61033_S40	SUPER__3	1	211792393	24767976	209383129	98.8624	16.7535	36.3	54.2
PAGC61033_S40	SUPER__4	1	121730464	7753315	119175875	97.9014	8.97821	36.3	49.3
PAGC61033_S40	SUPER__5	1	113776203	12673055	110435713	97.064	15.9686	36.3	54.1
PAGC61033_S40	SUPER__6	1	111457381	13084408	110549380	99.1853	16.8816	36.3	55.7
PAGC61033_S40	SUPER__7	1	98951147	11509821	97289593	98.3208	16.6866	36.3	55
PAGC61033_S40	SUPER__8	1	93510542	10861418	92424179	98.8382	16.7298	36.3	55.4
PAGC61033_S40	SUPER__9	1	91912741	10659232	90904912	98.9035	16.6867	36.3	56.1
PAGC61033_S40	SUPER__10	1	84231690	9764178	82730653	98.218	16.5871	36.3	54.3
PAGC61033_S40	SUPER__11	1	83622935	9922660	82446608	98.5933	16.9402	36.3	53.9
PAGC61033_S40	SUPER__12	1	81635540	9642297	80434862	98.5292	16.9985	36.3	52.9
PAGC61033_S40	SUPER__13	1	72972725	8529995	71623887	98.1516	16.8111	36.3	50.3
PAGC61033_S40	SUPER__14	1	61507012	7079741	59428169	96.6202	16.0768	36.1	50.3
PAGC61033_S40	SUPER__15	1	60856427	7176752	60142665	98.8271	16.8504	36.3	54.8
PAGC61033_S40	SUPER__16	1	55580494	6516075	55221018	99.3532	16.8244	36.3	56.2
PAGC61033_S40	SUPER__17	1	54681234	6175289	53138314	97.1783	16.1415	36.3	54.2
PAGC61033_S40	SUPER__18	1	52719951	6089904	52126443	98.8742	16.595	36.3	56.2
PAGC61033_S40	SUPER__19	1	43711415	5070138	43173199	98.7687	16.6521	36.3	56.2
PAGC61033_S40	SUPER__20	1	28462450	3299600	28125918	98.8176	16.5568	36.3	55.4
PAGC61033_S40	SUPER__21	1	25775296	2293908	22952877	89.0499	12.5857	36.2	38.7
